Channel Id,Channel Url,Channel Title
UCTI2bzqpOeDm-ogQhU05E_g,http://www.youtube.com/channel/UCTI2bzqpOeDm-ogQhU05E_g,RED HANDED DENIAL
UCTMt7iMWa7jy0fNXIktwyLA,http://www.youtube.com/channel/UCTMt7iMWa7jy0fNXIktwyLA,Omeleto
UCTcw8GqWQlFcc6ioeJQOMAQ,http://www.youtube.com/channel/UCTcw8GqWQlFcc6ioeJQOMAQ,Game Changer Shorts
UCUNYSwNARexFwxXp3oPAtvg,http://www.youtube.com/channel/UCUNYSwNARexFwxXp3oPAtvg,Horrible Histories
UCUpkp-6fXuG9dqfoJ99XTmw,http://www.youtube.com/channel/UCUpkp-6fXuG9dqfoJ99XTmw,Puffin Forest
UCUzEzP63xBxsmsh8UPryKOQ,http://www.youtube.com/channel/UCUzEzP63xBxsmsh8UPryKOQ,We Made A Thing Studios
UCVQa3eDp9rFpKw3LZ3AsMCg,http://www.youtube.com/channel/UCVQa3eDp9rFpKw3LZ3AsMCg,"Um, Actually"
UCVpankR4HtoAVtYnFDUieYA,http://www.youtube.com/channel/UCVpankR4HtoAVtYnFDUieYA,zefrank1
UCWXCrItCF6ZgXrdozUS-Idw,http://www.youtube.com/channel/UCWXCrItCF6ZgXrdozUS-Idw,ExplosmEntertainment
UCX0Li3JxkKVPIHAamYe-YmQ,http://www.youtube.com/channel/UCX0Li3JxkKVPIHAamYe-YmQ,Mike Relm
UCXoIFuHdVHm-Zp9umA2seRQ,http://www.youtube.com/channel/UCXoIFuHdVHm-Zp9umA2seRQ,timtimfed
UCXuc4N_UKi5IXNGtHZY8qQA,http://www.youtube.com/channel/UCXuc4N_UKi5IXNGtHZY8qQA,Jack Conte
UCZ5ZvIxBENqIPb8y-49NY1A,http://www.youtube.com/channel/UCZ5ZvIxBENqIPb8y-49NY1A,IAMDANIELGRAVES
UC_mneEC0wc29EGGmIsN_xLA,http://www.youtube.com/channel/UC_mneEC0wc29EGGmIsN_xLA,Aunty Donna
UCaRmEgTuALuDMeD71TGTlmw,http://www.youtube.com/channel/UCaRmEgTuALuDMeD71TGTlmw,EUZEN
UCcbHQTtv8n2Swswv61HcxZA,http://www.youtube.com/channel/UCcbHQTtv8n2Swswv61HcxZA,loomecy
UCccyJhDWayUzZKI45_m2zNQ,http://www.youtube.com/channel/UCccyJhDWayUzZKI45_m2zNQ,Denis Pauna
UCchBatdUMZoMfJ3rIzgV84g,http://www.youtube.com/channel/UCchBatdUMZoMfJ3rIzgV84g,Viva La Dirt League
UCeE3lj6pLX_gCd0Yvns517Q,http://www.youtube.com/channel/UCeE3lj6pLX_gCd0Yvns517Q,Ozzy Man Reviews
UCfPUcG3oCmXEYgdFuwlFh8w,http://www.youtube.com/channel/UCfPUcG3oCmXEYgdFuwlFh8w,Dingo Doodles
UCgITW_70LNZFkNna7VsXbuQ,http://www.youtube.com/channel/UCgITW_70LNZFkNna7VsXbuQ,Peter Hollens
UCh9DnjvObUcvvwrYbJ4-cLQ,http://www.youtube.com/channel/UCh9DnjvObUcvvwrYbJ4-cLQ,StrucciMovies
UChDkP71cJOHop-iRgl_8pVg,http://www.youtube.com/channel/UChDkP71cJOHop-iRgl_8pVg,Bloodywood
UCjD2KyAEm84yVH8cTilID7Q,http://www.youtube.com/channel/UCjD2KyAEm84yVH8cTilID7Q,Cracked
UCjUFNT7Mwg1dniSKszEQYsA,http://www.youtube.com/channel/UCjUFNT7Mwg1dniSKszEQYsA,Tom Allen
UCjj9EnVJUY7pTkP5MX8F9gQ,http://www.youtube.com/channel/UCjj9EnVJUY7pTkP5MX8F9gQ,Jay Smooth
